Adidas Ultraboost, mens, 9, black/white, in stock, 150.00, 15
Jordan Retro 4, mens, 11, white/grey, in stock, 220.00, 30
Jordan Retro 4, womens, 9, black/red, in stock, 220.00, 39
Jordan Retro 4, kids, 7, grey/pink, in stock, 150.00, 2
Jordan Retro 11, mens, 9.5, black/red, in stock, 250.00, 6
Jordan Retro 11, womens, 7.5, white/black, in stock, 250.00, 14
Jordan Retro 11, kids, 5.5, blue/white, in stock, 180.00, 28
Under Armour HOVR Phantom, mens, 10, black/grey, in stock, 140.00, 17
Under Armour HOVR Phantom, mens, 11, blue/white, in stock, 140.00, 7
Under Armour HOVR Phantom, womens, 9, pink/grey, in stock, 140.00, 10
Under Armour Charged Assert 8, mens, 12, white/black, in stock, 80.00, 4
Under Armour Charged Assert 8, womens, 8, purple/pink, in stock, 80.00, 5
Under Armour Charged Assert 8, kids, 6, blue/green, in stock, 60.00, 19
Ugg Classic Short, mens, 9, chestnut, in stock, 160.00, 50
Ugg Classic Short, womens, 8, black, in stock, 160.00, 46
Ugg Classic Short, kids, 6, grey, in stock, 120.00, 33
Ugg Neumel, mens, 10, chestnut, in stock, 130.00, 39
Ugg Neumel, womens, 9, brown, in stock, 130.00, 20
Ugg Neumel, kids, 7, black, in stock, 100.00, 24
Nike Air Force 1, mens, 9, white, in stock, 100.00, 19
Nike Air Force 1, mens, 10, black, in stock, 100.00, 11
Nike Air Force 1, womens, 8, pink, in stock, 100.00, 41
Adidas Superstar, mens, 11, white/black, in stock, 80.00, 10
Adidas Superstar, womens, 9, gold, in stock, 80.00, 50
Adidas Superstar, kids, 7, blue, in stock, 60.00, 17
Vans Slip-On, mens, 8, checkerboard, in stock, 50.00, 2
Vans Slip-On, mens, 9, camo, in stock, 50.00, 26
Vans Slip-On, womens, 7, floral, in stock, 50.00, 37
New Balance 574, mens, 10, grey, in stock, 90.00, 13
New Balance 574, womens, 8, navy, in stock, 90.00, 23
New Balance 574, kids, 6, red, in stock, 70.00, 14
Converse Chuck 70, mens, 9, black/white, in stock, 80.00, 6
Converse Chuck 70, mens, 10, green, in stock, 80.00, 26
Converse Chuck 70, womens, 8, yellow, in stock, 80.00, 4
Puma Clyde, mens, 11, red, in stock, 75.00, 3
Puma Clyde, womens, 9, white/gold, in stock, 75.00, 1
Puma Clyde, kids, 7, blue/red, in stock, 55.00, 0
Reebok Club C, mens, 10, black/gum, in stock, 70.00, 9
Reebok Club C, womens, 8, pink/white, in stock, 70.00, 45
Reebok Club C, kids, 6, purple, in stock, 50.00, 28
Fila Disruptor, mens, 9, white/navy, in stock, 85.00, 25
Fila Disruptor, womens, 7, pink/black, in stock, 85.00, 25
Fila Disruptor, kids, 5, blue/white, in stock, 65.00, 26
Skechers D'Lites, mens, 10, black/red, in stock, 60.00, 0
Skechers D'Lites, womens, 8, white/silver, in stock, 60.00, 2
Skechers D'Lites, kids, 6, pink, in stock, 40.00, 5
Ugg Classic Tall, mens, 11, chestnut, in stock, 180.00, 50
Ugg Classic Tall, womens, 9, black, in stock, 180.00, 50
Ugg Classic Tall, kids, 7, grey, in stock, 140.00, 48
Ugg Dakota, mens, 8, chestnut, in stock, 120.00, 34
Ugg Dakota, womens, 6, navy, in stock, 120.00, 19
Ugg Dakota, kids, 4, pink, in stock, 90.00, 24
Ugg Ascot, mens, 10, espresso, in stock, 130.00, 0
Ugg Ascot, womens, 8, charcoal, in stock, 130.00, 17


